latitude,longitude,hour,SO2,NO,NO2,CO,O3,wind_direction,wind_speed,temperature,humidity,pressure,solar_radiation,rain,Air_Quality_Class
43.529806,-5.673428,1,4.0,2.0,15.0,0.29,58.0,158.0,1.13,14.1,54.0,1009.0,17.0,0.0,Good
43.529806,-5.673428,2,3.0,1.0,14.0,0.25,54.0,203.0,0.48,14.1,55.0,1008.0,17.0,0.0,Good
43.529806,-5.673428,3,5.0,1.0,16.0,0.26,50.0,5.0,0.1,13.4,58.0,1007.0,17.0,0.0,Good
43.529806,-5.673428,4,4.0,1.0,5.0,0.24,68.0,181.0,0.75,15.3,53.0,1006.0,17.0,0.0,Good
43.529806,-5.673428,5,4.0,2.0,13.0,0.26,56.0,181.0,0.78,14.9,55.0,1006.0,17.0,0.0,Good
43.529806,-5.673428,6,4.0,4.0,23.0,0.3,42.0,180.0,0.32,14.3,57.0,1006.0,17.0,0.0,Good
43.529806,-5.673428,7,7.0,33.0,51.0,0.42,11.0,318.0,0.1,13.1,60.0,1006.0,17.0,0.0,Good
43.529806,-5.673428,8,15.0,52.0,63.0,0.63,4.0,337.0,0.1,12.4,61.0,1006.0,17.0,0.0,Good
43.529806,-5.673428,9,9.0,87.0,60.0,0.64,16.0,180.0,1.05,12.7,58.0,1005.0,17.0,0.0,Good
43.529806,-5.673428,10,8.0,67.0,71.0,0.61,10.0,316.0,0.12,14.1,53.0,1006.0,28.0,0.0,Good
43.529806,-5.673428,11,6.0,26.0,53.0,0.47,27.0,202.0,0.34,15.3,50.0,1006.0,129.0,0.0,Good
43.529806,-5.673428,12,5.0,15.0,41.0,0.37,38.0,204.0,0.76,17.8,44.0,1006.0,142.0,0.0,Good
43.529806,-5.673428,13,5.0,5.0,25.0,0.31,55.0,6.0,1.38,13.0,80.0,1007.0,21.0,0.0,Good
43.529806,-5.673428,14,3.0,2.0,19.0,0.31,55.0,204.0,1.36,11.5,89.0,1007.0,30.0,0.4,Good
43.529806,-5.673428,15,6.0,6.0,37.0,0.58,29.0,181.0,1.12,11.1,92.0,1007.0,20.0,1.6,Good
43.529806,-5.673428,16,3.0,12.0,47.0,0.43,17.0,135.0,0.11,11.1,94.0,1008.0,17.0,0.4,Good
43.529806,-5.673428,17,3.0,18.0,49.0,0.45,21.0,336.0,0.85,11.1,90.0,1008.0,17.0,0.0,Good
43.529806,-5.673428,18,3.0,4.0,30.0,0.39,50.0,316.0,1.25,10.4,90.0,1009.0,17.0,0.0,Good
43.529806,-5.673428,19,7.0,13.0,46.0,0.6,30.0,135.0,1.1,10.3,88.0,1009.0,17.0,0.0,Good
43.529806,-5.673428,20,11.0,15.0,54.0,0.69,16.0,134.0,0.11,10.6,85.0,1009.0,17.0,0.0,Good
43.529806,-5.673428,21,10.0,67.0,74.0,0.9,7.0,203.0,0.3,10.7,83.0,1010.0,17.0,0.2,Moderate
43.529806,-5.673428,22,3.0,3.0,33.0,0.48,31.0,157.0,0.22,10.0,87.0,1009.0,17.0,0.0,Good
43.529806,-5.673428,23,2.0,1.0,13.0,0.37,53.0,134.0,0.25,10.0,87.0,1009.0,17.0,0.0,Good
43.529806,-5.673428,24,2.0,14.0,35.0,0.5,24.0,177.0,0.23,9.3,87.0,1008.0,17.0,0.0,Good
43.529806,-5.673428,1,2.0,2.0,25.0,0.48,30.0,224.0,0.35,6.9,72.0,1019.0,17.0,0.0,Moderate
43.529806,-5.673428,2,2.0,1.0,19.0,0.43,36.0,133.0,0.1,6.6,72.0,1019.0,17.0,0.0,Good
43.529806,-5.673428,3,2.0,1.0,16.0,0.46,35.0,249.0,0.14,6.0,73.0,1019.0,17.0,0.0,Good
